n_data,key_imb,setting,ml,gap_auc,gap_brier,gap_precision,gap_recall
500,Identity,uniform_independent,LR,1.4022196291924411e-14,2.786266868122501,1.4925373134328348,0.0
500,Identity,uniform_independent,RF,4.224343675417654,13.06701691605691,56.60606060606061,24.0
500,Identity,uniform_independent,MLP,0.1431980906921336,0.528440327613978,0.39436619718310245,3.999999999999994
500,Identity,uniform_independent,KNN,0.954653937947492,0.05935707904160563,28.84210526315788,28.000000000000004
500,SMOTE,uniform_independent,LR,0.23866348448688,17.063689831650823,0.39436619718310245,3.999999999999994
500,SMOTE,uniform_independent,RF,4.200477326968981,9.0388318762572,18.999999999999993,15.999999999999998
500,SMOTE,uniform_independent,MLP,0.477326968973746,17.654951145411754,0.39436619718310245,3.999999999999994
500,SMOTE,uniform_independent,KNN,0.09546539379474639,25.084881558441513,1.449275362318848,0.0
1000,Identity,uniform_independent,LR,0.027371014096069828,1.427186713285461,24.747474747474744,21.212121212121218
1000,Identity,uniform_independent,RF,8.047078144245237,22.929093390805658,14.414414414414416,0.0
1000,Identity,uniform_independent,MLP,0.3968797043930567,0.06396252322161827,24.747474747474744,21.212121212121218
1000,Identity,uniform_independent,KNN,13.29547009716709,27.350538213349676,12.38471673254282,36.36363636363637
1000,SMOTE,uniform_independent,LR,1.4732068491536224e-14,30.594134252961386,0.0,0.0
1000,SMOTE,uniform_independent,RF,10.353086081839335,39.04300932536688,21.29932417702202,15.151515151515145
1000,SMOTE,uniform_independent,MLP,0.24633912686465792,31.516396748331243,24.747474747474744,21.212121212121218
1000,SMOTE,uniform_independent,KNN,14.068701245381144,46.36586384066329,18.524871355060043,9.090909090909092
5000,Identity,uniform_independent,LR,0.01624959376015898,0.009999069334707632,0.5607708275242441,0.4926108374384104
5000,Identity,uniform_independent,RF,5.416371943642591,13.354598790648106,13.651132433230746,5.418719211822665
5000,Identity,uniform_independent,MLP,0.023418532183764385,0.01129587956792955,0.5607708275242441,0.4926108374384104
5000,Identity,uniform_independent,KNN,9.031906555277306,17.37826419051684,1.2441012441012422,28.57142857142858
5000,SMOTE,uniform_independent,LR,0.0195950983578415,28.67427420597385,0.0,0.0
5000,SMOTE,uniform_independent,RF,7.215775487965728,30.068198301648696,20.91417847927349,1.4778325123152722
5000,SMOTE,uniform_independent,MLP,0.02676403678143364,28.088937712507754,0.975965938891583,0.4926108374384104
5000,SMOTE,uniform_independent,KNN,9.772457894434995,39.10946686628456,1.8978274095735237,45.8128078817734
10000,Identity,uniform_independent,LR,0.013423008449422442,0.01047833504966938,1.0714285714285723,0.0
10000,Identity,uniform_independent,RF,5.771481523346611,13.139130191154218,8.768921957771768,7.049608355091383
10000,Identity,uniform_independent,MLP,0.0007064741289205175,0.009180083326027105,0.73570534707309,0.26109660574413257
10000,Identity,uniform_independent,KNN,9.723321181978319,17.663099629838776,9.365542173681186,51.43603133159269
10000,SMOTE,uniform_independent,LR,0.014364973954658784,28.094109445498464,0.9512485136741948,0.0
10000,SMOTE,uniform_independent,RF,6.302220212695815,29.571741728969425,17.214804548773085,2.8720626631853827
10000,SMOTE,uniform_independent,MLP,0.0021194223867615526,27.385437331856796,0.13191609649935662,1.0443864229765
