n_data,setting,ml,is_calibrated,gap_auc,gap_brier,gap_precision,gap_recall,prec,recall
500,uniform_independent,RF,0,4.224343675417654,13.06701691605691,55.42857142857141,52.00000000000001,0.5714285714285714,0.4444444444444444
500,uniform_independent,RF_iso,1,5.3460620525059666,16.513697803288434,63.19999999999998,63.99999999999999,0.6,0.3333333333333333
500,uniform_independent,KNN,0,0.954653937947492,0.05935707904160563,5.7777777777777715,72.0,0.3888888888888889,0.25925925925925924
500,uniform_independent,KNN_iso,1,1.4558472553699386,4.029081170281846,35.99999999999999,92.0,0.5,0.07407407407407407
500,uniform_independent,ADA,0,0.7398568019093126,30.8339917098382,48.363636363636346,52.00000000000001,0.5454545454545454,0.4444444444444444
500,uniform_independent,ADA_iso,1,2.3389021479713707,8.236738569455255,46.461538461538446,72.0,0.5384615384615384,0.25925925925925924
1000,uniform_independent,RF,0,7.04242876695286,14.417685319281384,8.875739644970421,53.84615384615385,0.46153846153846156,0.34615384615384615
1000,uniform_independent,RF_iso,1,6.812243374393414,9.319680358042673,4.072398190045247,61.53846153846154,0.4411764705882353,0.28846153846153844
1000,uniform_independent,KNN,0,9.543361950976747,13.698628625559008,33.07034845496384,43.58974358974359,0.5641025641025641,0.4230769230769231
1000,uniform_independent,KNN_iso,1,6.438969764837647,5.652846760892277,28.671328671328663,69.23076923076923,0.5454545454545454,0.23076923076923078
1000,uniform_independent,ADA,0,5.1387333582182375,41.81948281564886,21.52292152292152,56.41025641025641,0.5151515151515151,0.3269230769230769
1000,uniform_independent,ADA_iso,1,5.337812616648012,6.2793260435580285,30.150309460654288,58.97435897435897,0.5517241379310345,0.3076923076923077
5000,uniform_independent,RF,0,6.462224700306667,13.178886888514905,25.901639344262303,54.99999999999999,0.5409836065573771,0.38372093023255816
5000,uniform_independent,RF_iso,1,5.048322646594192,7.367325497483278,33.28925619834711,71.36363636363636,0.5727272727272728,0.2441860465116279
5000,uniform_independent,KNN,0,10.615881423659504,17.296908543614947,10.822510822510818,59.09090909090909,0.47619047619047616,0.3488372093023256
5000,uniform_independent,KNN_iso,1,7.754623176284733,10.066940835255018,40.86124401913876,79.0909090909091,0.6052631578947368,0.17829457364341086
5000,uniform_independent,ADA,0,1.0133816559799398,48.54643337758494,37.170379289584595,59.54545454545455,0.5894039735099338,0.3449612403100775
5000,uniform_independent,ADA_iso,1,0.5436297741845553,1.3434201593855517,36.89839572192514,63.63636363636363,0.5882352941176471,0.31007751937984496
10000,uniform_independent,RF,0,6.893246838879355,14.250923577809392,18.889437802588667,64.13793103448276,0.4469914040114613,0.3101391650099404
10000,uniform_independent,RF_iso,1,5.491531738668418,7.110464443107143,42.20553089791738,87.58620689655172,0.5346534653465347,0.1073558648111332
10000,uniform_independent,KNN,0,12.606427765160937,18.64439017132045,15.510016420361238,65.05747126436782,0.4342857142857143,0.30218687872763417
10000,uniform_independent,KNN_iso,1,9.613642853728688,10.298579728170791,8.117032392894467,95.63218390804597,0.34545454545454546,0.03777335984095427
10000,uniform_independent,ADA,0,1.148997032830071,46.6644351255734,34.874867530773614,67.1264367816092,0.5070921985815603,0.28429423459244535
10000,uniform_independent,ADA_iso,1,0.7485332669876804,0.7602622028105644,34.05241379310344,71.0344827586207,0.504,0.2504970178926441
500,2_squared,RF,0,10.045203415369148,18.26143939854596,27.083333333333336,62.50000000000001,0.3333333333333333,0.23076923076923078
500,2_squared,RF_iso,1,9.51783023606226,9.74408364897084,27.083333333333336,93.75000000000001,0.3333333333333333,0.038461538461538464
500,2_squared,KNN,0,13.134103465595178,16.559580877343993,12.499999999999993,62.50000000000001,0.4,0.23076923076923078
500,2_squared,KNN_iso,1,11.82822702159718,7.067493215584634,45.83333333333333,87.50000000000001,0.6666666666666666,0.07692307692307693
500,2_squared,ADA,0,11.677548970366638,39.12329020052269,12.499999999999993,75.0,0.4,0.15384615384615385
500,2_squared,ADA_iso,1,10.59768960321445,12.704900015314866,56.24999999999999,93.75000000000001,0.2,0.038461538461538464
1000,2_squared,RF,0,1.1547344110854432,12.479529193119841,19.288888888888884,51.11111111111111,0.44,0.41509433962264153
1000,2_squared,RF_iso,1,0.14113420579933128,2.022578491109934,16.19047619047618,86.66666666666666,0.42857142857142855,0.11320754716981132
1000,2_squared,KNN,0,6.036694893507813,11.284619852613286,13.488372093023255,60.00000000000001,0.4186046511627907,0.33962264150943394
1000,2_squared,KNN_iso,1,2.617397998460342,1.7018143225279734,23.232323232323218,88.88888888888889,0.45454545454545453,0.09433962264150944
1000,2_squared,ADA,0,0.44906338208878677,38.692864812916525,1.666666666666661,93.33333333333333,0.375,0.05660377358490566
1000,2_squared,ADA_iso,1,0.076982294072349,2.9766515998937346,13.737373737373744,84.44444444444446,0.3181818181818182,0.1320754716981132
5000,2_squared,RF,0,7.793377846885576,14.34141188674158,6.977795866684748,72.01646090534979,0.37362637362637363,0.2305084745762712
5000,2_squared,RF_iso,1,6.70012805268454,6.435391262138914,17.009602194787377,99.17695473251028,0.3333333333333333,0.006779661016949152
5000,2_squared,KNN,0,11.980014634592505,16.98409385497633,2.280057835613404,68.72427983539094,0.41081081081081083,0.2576271186440678
5000,2_squared,KNN_iso,1,9.71988475258391,9.017359788670914,17.009602194787377,99.58847736625515,0.3333333333333333,0.003389830508474576
5000,2_squared,ADA,0,2.0895454129699154,35.07391166941943,23.021060275962252,82.71604938271605,0.49411764705882355,0.1423728813559322
5000,2_squared,ADA_iso,1,2.0991493643098926,2.037969497747056,3.737997256515787,97.94238683127573,0.4166666666666667,0.01694915254237288
10000,2_squared,RF,0,7.808608955721913,15.484767573016786,6.510833011742652,66.80412371134021,0.4304812834224599,0.2696817420435511
10000,2_squared,RF_iso,1,6.7831910832836355,6.913362375060427,6.84161199625117,96.08247422680414,0.4318181818181818,0.031825795644891124
10000,2_squared,KNN,0,11.507373291111133,17.752187671951564,7.800957869956981,65.77319587628865,0.4356955380577428,0.2780569514237856
10000,2_squared,KNN_iso,1,9.447913484312654,9.075384993278265,35.45495293590319,98.76288659793815,0.2608695652173913,0.010050251256281407
10000,2_squared,ADA,0,0.6183959695756562,37.65619524148738,79.16814788482047,95.67010309278349,0.7241379310344828,0.035175879396984924
10000,2_squared,ADA_iso,1,0.47398520719730364,0.4343641433858265,79.16814788482047,95.67010309278349,0.7241379310344828,0.035175879396984924
500,normal_copula,RF,0,18.578313253012055,16.19977302302141,6.250000000000003,43.75,0.42857142857142855,0.3103448275862069
500,normal_copula,RF_iso,1,20.337349397590355,9.886654994003155,21.52777777777779,68.75,0.5555555555555556,0.1724137931034483
500,normal_copula,KNN,0,26.746987951807245,25.34138047284389,14.930555555555552,56.249999999999986,0.3888888888888889,0.2413793103448276
500,normal_copula,KNN_iso,1,23.493975903614476,10.95878767052015,9.375000000000004,81.25000000000001,0.5,0.10344827586206896
500,normal_copula,ADA,0,13.831325301204824,34.28031792384565,16.666666666666668,50.0,0.5333333333333333,0.27586206896551724
500,normal_copula,ADA_iso,1,11.108433734939776,4.823680006950734,27.60416666666668,56.249999999999986,0.5833333333333334,0.2413793103448276
1000,normal_copula,RF,0,10.164455500276405,17.703971870817657,22.44039270687236,77.41935483870968,0.30434782608695654,0.14285714285714285
1000,normal_copula,RF_iso,1,8.699557766721943,9.288407364225751,36.29032258064516,90.3225806451613,0.25,0.061224489795918366
1000,normal_copula,KNN,0,15.733830845771136,18.432829449490193,10.430107526881729,58.06451612903226,0.43333333333333335,0.2653061224489796
