seed,alpha,method,VaR,lb_bound,ub_bound,CVaR_beta,CVaR_lb_bound,CVaR_ub_bound,a,b,mu_1,mu_2,pi,rho,mom1_pi,mom2_rho
0,0.9,LR,2736.0,1092.0,6000,3223.0,1582.0,6000,2.4212993845022144,6.756253758741586,0.2638284242771935,0.08868890320587051,0.26382842427719333,0.09825544371279785,0.26382842427719333,0.09825544371279785
0,0.95,LR,3115.0,1350.0,6000,3535.0,1582.0,6000,2.4212993845022144,6.756253758741586,0.2638284242771935,0.08868890320587051,0.26382842427719333,0.09825544371279785,0.26382842427719333,0.09825544371279785
0,0.99,LR,3801.0,1538.0,6000,4115.0,1583.0,6000,2.4212993845022144,6.756253758741586,0.2638284242771935,0.08868890320587051,0.26382842427719333,0.09825544371279785,0.26382842427719333,0.09825544371279785
0,0.9,MLP,3087.0,738.0,6000,3894.0,1265.0,6000,0.6625727469852792,2.4812211585168886,0.2107557832673427,0.08455942296371023,0.21075578326736544,0.24132474317127373,0.21075578326736544,0.24132474317127373
0,0.95,MLP,3760.0,1015.0,6000,4388.0,1265.0,6000,0.6625727469852792,2.4812211585168886,0.2107557832673427,0.08455942296371023,0.21075578326736544,0.24132474317127373,0.21075578326736544,0.24132474317127373
0,0.99,MLP,4803.0,1216.0,6000,5153.0,1265.0,6000,0.6625727469852792,2.4812211585168886,0.2107557832673427,0.08455942296371023,0.21075578326736544,0.24132474317127373,0.21075578326736544,0.24132474317127373
0,0.9,RF,2938.0,805.0,6000,3651.0,1325.0,6000,0.9230825205678477,3.2584893112890057,0.22075012881848716,0.08192894509912793,0.22075012882367417,0.192991631198065,0.22075012882367417,0.192991631198065
0,0.95,RF,3518.0,1078.0,6000,4098.0,1325.0,6000,0.9230825205678477,3.2584893112890057,0.22075012881848716,0.08192894509912793,0.22075012882367417,0.192991631198065,0.22075012882367417,0.192991631198065
0,0.99,RF,4480.0,1277.0,6000,4839.0,1325.0,6000,0.9230825205678477,3.2584893112890057,0.22075012881848716,0.08192894509912793,0.22075012882367417,0.192991631198065,0.22075012882367417,0.192991631198065
0,0.9,AB,3017.0,801.0,6000,3763.0,1320.0,6000,0.8290730772293247,2.9367542584299287,0.2201569544569104,0.08449386219868872,0.220156954456911,0.2098271568753069,0.220156954456911,0.2098271568753069
0,0.95,AB,3628.0,1074.0,6000,4225.0,1321.0,6000,0.8290730772293247,2.9367542584299287,0.2201569544569104,0.08449386219868872,0.220156954456911,0.2098271568753069,0.220156954456911,0.2098271568753069
0,0.99,AB,4616.0,1273.0,6000,4971.0,1321.0,6000,0.8290730772293247,2.9367542584299287,0.2201569544569104,0.08449386219868872,0.220156954456911,0.2098271568753069,0.220156954456911,0.2098271568753069
0,0.9,KNN,3421.0,784.0,6000,4286.0,1307.0,6000,0.5137983103176429,1.8461726077601364,0.2177138312940799,0.09808859599718107,0.2177138312942165,0.29762162363360406,0.2177138312942165,0.29762162363360406
0,0.95,KNN,4173.0,1059.0,6000,4801.0,1307.0,6000,0.5137983103176429,1.8461726077601364,0.2177138312940799,0.09808859599718107,0.2177138312942165,0.29762162363360406,0.2177138312942165,0.29762162363360406
0,0.99,KNN,5209.0,1258.0,6000,5488.0,1307.0,6000,0.5137983103176429,1.8461726077601364,0.2177138312940799,0.09808859599718107,0.2177138312942165,0.29762162363360406,0.2177138312942165,0.29762162363360406
1,0.9,LR,2746.0,1117.0,6000,3224.0,1606.0,6000,2.5323779628099725,6.929793726128278,0.26763179173449675,0.0903614155242587,0.2676317917344967,0.09558244977544281,0.2676317917344967,0.09558244977544281
1,0.95,LR,3118.0,1374.0,6000,3534.0,1606.0,6000,2.5323779628099725,6.929793726128278,0.26763179173449675,0.0903614155242587,0.2676317917344967,0.09558244977544281,0.2676317917344967,0.09558244977544281
1,0.99,LR,3793.0,1561.0,6000,4105.0,1606.0,6000,2.5323779628099725,6.929793726128278,0.26763179173449675,0.0903614155242587,0.2676317917344967,0.09558244977544281,0.2676317917344967,0.09558244977544281
1,0.9,MLP,3438.0,827.0,6000,4281.0,1344.0,6000,0.5526352745756331,1.9127759475361261,0.22415541456902882,0.10043010232849106,0.2241554145690433,0.28856604192290286,0.2241554145690433,0.28856604192290286
1,0.95,MLP,4169.0,1099.0,6000,4782.0,1345.0,6000,0.5526352745756331,1.9127759475361261,0.22415541456902882,0.10043010232849106,0.2241554145690433,0.28856604192290286,0.2241554145690433,0.28856604192290286
1,0.99,MLP,5186.0,1297.0,6000,5466.0,1345.0,6000,0.5526352745756331,1.9127759475361261,0.22415541456902882,0.10043010232849106,0.2241554145690433,0.28856604192290286,0.2241554145690433,0.28856604192290286
1,0.9,RF,2959.0,818.0,6000,3672.0,1337.0,6000,0.9268081696058604,3.2336674140060095,0.22276495822772605,0.08317553962953697,0.2227649582313526,0.19378058936577502,0.2227649582313526,0.19378058936577502
1,0.95,RF,3539.0,1091.0,6000,4121.0,1337.0,6000,0.9268081696058604,3.2336674140060095,0.22276495822772605,0.08317553962953697,0.2227649582313526,0.19378058936577502,0.2227649582313526,0.19378058936577502
1,0.99,RF,4499.0,1289.0,6000,4857.0,1337.0,6000,0.9268081696058604,3.2336674140060095,0.22276495822772605,0.08317553962953697,0.2227649582313526,0.19378058936577502,0.2227649582313526,0.19378058936577502
1,0.9,AB,3036.0,815.0,6000,3780.0,1335.0,6000,0.8370732779749943,2.927680925948785,0.22234473557342607,0.08572605316825195,0.22234473557465256,0.2098744147550149,0.22234473557465256,0.2098744147550149
