id_setting,n_data,alpha,n_seed,method,minVar,minCVar,beta_var,p1,p2,rho,a,b,NoExcVaR
UI,500,0.9,0,real,57,102.0,254,0.20268254546181416,0.08114354976934457,0.24791310391558885,0.6148722439406261,2.418799168363932,113
UI,500,0.9,0,KNN,62,107.0,177,0.21213029563904334,0.05533618946752128,0.061849238497613854,3.2176661059322686,11.9506817070902,114
UI,500,0.9,0,MLP,57,102.0,211,0.20379520023799252,0.06420242307414088,0.13971132685608292,1.2548925444848715,4.902723251620932,114
UI,500,0.9,0,LogisticRegression,58,103.0,200,0.20450389754239087,0.06049969890924785,0.11481201770574774,1.5767024746062717,6.133187134362232,111
UI,500,0.9,0,RandomForest,64,109.0,239,0.21655738086293375,0.07822115868799855,0.18462812377727966,0.956380828255272,3.4599120936525436,118
UI,500,0.9,0,AdaBoostClassifier,63,107.0,228,0.21378963957268507,0.07328689382570742,0.1640902442750639,1.0890887888017164,4.005118727421511,118
UI,1000,0.9,0,real,115,204.0,515,0.20373963824935784,0.08301673746063788,0.2558524868069551,0.592577180054945,2.315924990395,221
UI,1000,0.9,0,KNN,87,180.0,381,0.1790803320786181,0.05192085666709545,0.1350317311871194,1.1471289263465556,5.258537809972304,190
UI,1000,0.9,0,MLP,94,184.0,442,0.18493704338825445,0.06422211415316383,0.19915970240415115,0.74364961925367,3.2774464555472367,198
UI,1000,0.9,0,LogisticRegression,93,185.0,413,0.18406626923278582,0.05856308069307966,0.16434760440584922,0.9359151867718803,4.148749105203704,198
UI,1000,0.9,0,RandomForest,93,185.0,431,0.18447885020872173,0.061995661330359865,0.18586828536400105,0.8080457747417823,3.5721082307767937,195
UI,1000,0.9,0,AdaBoostClassifier,94,186.0,443,0.1851071331593007,0.06449365912910691,0.20040115953483018,0.7385758115348514,3.2514152759478425,201
UI,5000,0.9,0,real,534,982.0,2504,0.19629591732517354,0.0784301058492858,0.2528971225445738,0.5798928955411023,2.374284162459023,1048
UI,5000,0.9,0,KNN,511,961.0,2080,0.192039692552002,0.060844249125195475,0.15445305655241148,1.0513134455392903,4.423145670526593,1012
UI,5000,0.9,0,MLP,510,960.0,2572,0.1919204972744513,0.08034017866632429,0.2805309006011718,0.49221268328831497,2.0724570121249926,1018
UI,5000,0.9,0,LogisticRegression,497,948.0,2483,0.18954552824863866,0.07619939754907995,0.26215602841242647,0.5334801042220496,2.2810421329961232,1021
UI,5000,0.9,0,RandomForest,517,966.0,2266,0.19310529580079666,0.06816120784098137,0.19812871460719456,0.7815403843373957,3.2656835982265506,1019
UI,5000,0.9,0,AdaBoostClassifier,512,961.0,2569,0.19216247836311265,0.08026826570936507,0.27919961085486017,0.4960995065828574,2.0855673766129166,1016
UI,10000,0.9,0,real,1087,1980.0,4888,0.19790307282470349,0.07633499560265432,0.23415627608596648,0.6472721073276171,2.6233800260060502,2067
